ASN,numIPs,numMineCraftServers,percentage
AS5603,1803776,43,0.0024
AS7679,696320,43,0.0062
AS9304,4275968,43,0.0010
AS13101,140288,42,0.0299
AS13627,1280,42,3.2812
AS149766,4608,42,0.9115
AS197309,4608,42,0.9115
AS140292,990720,41,0.0041
AS17506,5508096,41,0.0007
AS208226,2560,41,1.6016
AS212655,37120,41,0.1105
AS21499,73216,41,0.0560
AS29066,243712,41,0.0168
AS34779,224768,41,0.0182
AS39383,2304,41,1.7795
AS56694,19968,41,0.2053
AS6697,1721088,41,0.0024
AS8047,349440,41,0.0117
AS133159,21504,40,0.1860
AS43278,4096,40,0.9766
AS56329,110592,40,0.0362
AS137409,80896,38,0.0470
AS206216,3072,38,1.2370
AS22047,2977024,38,0.0013
AS270764,2304,38,1.6493
AS29222,57088,38,0.0666
AS400519,3328,38,1.1418
AS4773,723456,38,0.0053
AS56478,201728,38,0.0188
AS20412,215808,37,0.0171
AS206446,7936,37,0.4662
AS23884,83456,37,0.0443
AS34087,210432,37,0.0176
AS397142,27904,37,0.1326
AS9105,2687232,37,0.0014
AS23969,5704192,36,0.0006
AS398721,154880,36,0.0232
AS50340,185860,36,0.0194
AS12578,506880,35,0.0069
AS142032,98816,35,0.0354
AS15169,14028032,35,0.0002
AS19437,69376,35,0.0504
AS208161,9728,35,0.3598
AS208677,51712,35,0.0677
AS26615,16596224,35,0.0002
AS26863,5376,35,0.6510
AS31775,37888,35,0.0924
AS13490,402432,34,0.0084
AS31012,163840,34,0.0208
AS38841,1600768,34,0.0021
AS4226,40448,34,0.0841
AS44489,55808,34,0.0609
AS7738,20343808,34,0.0002
AS8866,1211907,34,0.0028
AS10242,119296,33,0.0277
AS211750,2560,33,1.2891
AS212477,35072,33,0.0941
AS33387,57344,33,0.0575
AS147176,4096,32,0.7812
AS35916,2365696,32,0.0014
AS5466,1111296,32,0.0029
AS54858,85248,32,0.0375
AS9299,4312832,32,0.0007
AS135905,197632,31,0.0157
AS14593,306944,31,0.0101
AS198825,768,31,4.0365
AS20011,1226496,31,0.0025
AS200136,512,31,6.0547
AS204151,12800,31,0.2422
AS20454,173568,31,0.0179
AS207992,4608,31,0.6727
AS393552,55040,31,0.0563
AS5610,2251264,31,0.0014
AS11845,453376,30,0.0066
AS13428,207616,30,0.0144
AS136190,119552,30,0.0251
AS137690,13824,30,0.2170
AS14051,185856,30,0.0161
AS215238,2816,30,1.0653
AS23655,305408,30,0.0098
AS29314,618752,30,0.0048
AS31042,883456,30,0.0034
AS34534,2048,30,1.4648
AS42610,531200,30,0.0056
AS44477,290338,30,0.0103
AS11878,146944,28,0.0191
AS12312,620288,28,0.0045
AS135004,512,28,5.4688
AS200924,19200,28,0.1458
AS201106,14351,28,0.1951
AS204274,66560,28,0.0421
AS20676,1202176,28,0.0023
AS212219,5888,28,0.4755
AS215339,512,28,5.4688
AS215590,10752,28,0.2604
AS216071,71936,28,0.0389
AS27747,1099008,28,0.0025
AS37680,137216,28,0.0204
AS44656,10496,28,0.2668
AS6939,616960,28,0.0045
AS8400,1031936,28,0.0027
AS9930,837376,28,0.0033
AS12586,256000,27,0.0105
AS15796,98304,27,0.0275
AS1680,1592320,27,0.0017
AS20857,170496,27,0.0158
AS215703,2048,27,1.3184
AS35244,162560,27,0.0166
AS42652,112640,27,0.0240
AS6300,221440,27,0.0122
AS8648,84736,27,0.0319
AS16202,237568,26,0.0109
AS17621,1292288,26,0.0020
AS19165,535808,26,0.0049
AS60781,495104,26,0.0053
AS9031,94976,26,0.0274
AS9121,14585600,26,0.0002
AS137718,289536,25,0.0086
AS13830,4608,25,0.5425
AS212815,2048,25,1.2207
AS22612,127680,25,0.0196
AS24560,3672832,25,0.0007
AS25512,117760,25,0.0212
AS2586,172288,25,0.0145
AS26042,12544,25,0.1993
AS3212,350720,25,0.0071
AS3816,4136192,25,0.0006
AS11976,240128,24,0.0100
AS12735,136704,24,0.0176
AS16342,283648,24,0.0085
AS206067,1008896,24,0.0024
AS209604,3584,24,0.6696
AS21283,325632,24,0.0074
AS215413,768,24,3.1250
AS23473,212736,24,0.0113
AS25820,405504,24,0.0059
AS35986,341504,24,0.0070
AS398113,66560,24,0.0361
AS40509,68608,24,0.0350
AS41075,23808,24,0.1008
AS41998,82688,24,0.0290
AS4609,746752,24,0.0032
AS49981,69632,24,0.0345
AS53449,65536,24,0.0366
AS56300,41472,24,0.0579
AS7522,594944,24,0.0040
AS8437,650752,24,0.0037
AS8445,233984,24,0.0103
AS134351,8704,23,0.2642
AS197695,110848,23,0.0207
AS19969,37120,23,0.0620
AS214309,256,23,8.9844
AS31034,287744,23,0.0080
AS32133,121856,23,0.0189
AS3786,8807680,23,0.0003
AS393238,37376,23,0.0615
AS40788,203520,23,0.0113
AS53006,589824,23,0.0039
AS57043,61440,23,0.0374
AS7713,8134400,23,0.0003
AS12360,59904,22,0.0367
AS135887,891392,22,0.0025
AS15600,321280,22,0.0068
AS15659,238336,22,0.0092
AS1836,490752,22,0.0045
AS204928,1024,22,2.1484
AS216425,4096,22,0.5371
AS39699,60416,22,0.0364
AS397412,124928,22,0.0176
AS401263,2560,22,0.8594
AS4739,2885120,22,0.0008
AS5056,503552,22,0.0044
AS7057,55552,22,0.0396
AS8612,801792,22,0.0027
AS11290,417280,21,0.0050
AS19045,22272,21,0.0943
AS20712,146178,21,0.0144
AS210278,656384,21,0.0032
AS215391,768,21,2.7344
AS27651,1002496,21,0.0021
AS32244,256000,21,0.0082
AS4811,183296,21,0.0115
AS49505,580105,21,0.0036
AS49683,8192,21,0.2563
AS9158,2315776,21,0.0009
AS12389,16810752,20,0.0001
AS1241,1257216,20,0.0016
AS12552,677632,20,0.0030
AS200080,256,20,7.8125
AS211056,5120,20,0.3906
AS21412,158464,20,0.0126
AS31863,47872,20,0.0418
AS34989,11520,20,0.1736
AS35612,402432,20,0.0050
AS36007,29184,20,0.0685
AS37457,2542848,20,0.0008
AS51809,12544,20,0.1594
AS680,7978240,20,0.0003
AS11664,619776,18,0.0029
AS12849,429312,18,0.0042
AS137872,249344,18,0.0072
AS146817,18944,18,0.0950
AS15081,50944,18,0.0353
AS18526,3072,18,0.5859
AS203758,2304,18,0.7812
AS207994,1280,18,1.4062
AS208208,2560,18,0.7031
AS209040,20480,18,0.0879
AS20910,288256,18,0.0062
AS224,1050176,18,0.0017
AS23650,133376,18,0.0135
AS29580,251392,18,0.0072
AS34984,2152192,18,0.0008
AS398986,512,18,3.5156
AS400475,3072,18,0.5859
AS4385,65792,18,0.0274
AS44034,1007616,18,0.0018
AS4581,51968,18,0.0346
AS48101,56832,18,0.0317
AS51265,64512,18,0.0279
AS56048,2066432,18,0.0009
AS61053,8960,18,0.2009
AS8758,138496,18,0.0130
AS9198,3419904,18,0.0005
AS11796,107008,17,0.0159
AS131596,874240,17,0.0019
AS13693,265472,17,0.0064
